POSTALCODE,COUNTRY,STATE,ACI_AIRPORT,ACI_ZONE
35632,US,AL,ATL,Y
35633,US,AL,ATL,Y
36205,US,AL,ATL,Y
35062,US,AL,ATL,Y
35901,US,AL,ATL,Y
35603,US,AL,ATL,Y
35903,US,AL,ATL,Y
35904,US,AL,ATL,Y
35905,US,AL,ATL,Y
35071,US,AL,ATL,Y
35905,US,AL,ATL,Y
35747,US,AL,ATL,Y
35073,US,AL,ATL,Y
35054,US,AL,ATL,Y
35068,US,AL,ATL,Y
35068,US,AL,ATL,Y
35036,US,AL,ATL,Y
35444,US,AL,ATL,Y
36253,US,AL,ATL,Y
35243,US,AL,ATL,Y
35215,US,AL,ATL,Y
35220,US,AL,ATL,Y
35235,US,AL,ATL,Y
36260,US,AL,ATL,Y
35044,US,AL,ATL,Y
35077,US,AL,ATL,Y
35051,US,AL,ATL,Y
35044,US,AL,ATL,Y
35550,US,AL,ATL,Y
35453,US,AL,ATL,Y
35213,US,AL,ATL,Y
35055,US,AL,ATL,Y
35601,US,AL,ATL,Y
35602,US,AL,ATL,Y
35960,US,AL,ATL,Y
35618,US,AL,ATL,Y
35906,US,AL,BHM,E
35151,US,AL,BHM,E
35653,US,AL,HSV,D
35673,US,AL,HSV,B
35022,US,AL,BHM,D
35769,US,AL,HSV,E
36079,US,AL,MGM,D
36703,US,AL,MGM,E
35620,US,AL,HSV,C
36536,US,AL,MOB,E
35475,US,AL,BHM,E
35634,US,AL,HSV,C
36441,US,AL,PNS,F
36502,US,AL,PNS,F
35906,US,AL,BHM,E
36502,US,AL,PNS,F
36426,US,AL,PNS,F
36093,US,AL,MGM,C
36701,US,AL,MGM,E
35907,US,AL,BHM,E
36701,US,AL,MGM,E
36703,US,AL,MGM,E
35957,US,AL,HSV,E
35761,US,AL,HSV,C
35670,US,AL,HSV,C
36547,US,AL,MOB,E
35907,US,AL,BHM,E
35475,US,AL,BHM,E
35976,US,AL,HSV,E
35473,US,AL,BHM,E
35749,US,AL,HSV,B
35116,US,AL,BHM,D
35475,US,AL,BHM,E
35473,US,AL,BHM,E
35151,US,AL,BHM,E
36503,US,AL,PNS,F
35473,US,AL,BHM,E
36530,US,AL,PNS,F
35906,US,AL,BHM,E
35756,US,AL,HSV,A
36441,US,AL,PNS,F
36530,US,AL,PNS,F
36426,US,AL,PNS,F
35128,US,AL,BHM,E
36427,US,AL,PNS,F
36426,US,AL,PNS,F
35757,US,AL,HSV,A
36426,US,AL,PNS,F
36549,US,AL,PNS,F
36530,US,AL,PNS,F
36530,US,AL,PNS,F
35752,US,AL,HSV,F
35976,US,AL,HSV,F
35950,US,AL,HSV,F
35772,US,AL,HSV,H
35957,US,AL,HSV,F
35653,US,AL,HSV,F
35184,US,AL,BHM,G
35501,US,AL,BHM,G
36561,US,AL,MOB,E
35123,US,AL,BHM,E
35232,US,AL,BHM,A
35231,US,AL,BHM,A
35230,US,AL,BHM,A
35229,US,AL,BHM,B
35228,US,AL,BHM,B
35233,US,AL,BHM,A
36361,US,AL,MGM,D
36360,US,AL,MGM,D
36203,US,AL,BHM,E
35214,US,AL,BHM,C
35763,US,AL,HSV,D
35220,US,AL,BHM,A
35121,US,AL,BHM,E
35763,US,AL,HSV,D
35222,US,AL,BHM,A
35763,US,AL,HSV,D
35212,US,AL,BHM,A
35245,US,AL,BHM,A
35244,US,AL,BHM,D
35226,US,AL,BHM,C
35225,US,AL,BHM,A
35218,US,AL,BHM,B
35223,US,AL,BHM,B
35215,US,AL,BHM,B
35221,US,AL,BHM,A
35762,US,AL,HSV,A
35219,US,AL,BHM,A
35021,US,AL,BHM,D
35217,US,AL,BHM,A
35216,US,AL,BHM,B
35224,US,AL,BHM,B
36120,US,AL,MGM,A
36140,US,AL,MGM,B
36135,US,AL,MGM,B
36134,US,AL,MGM,B
36133,US,AL,MGM,B
36132,US,AL,MGM,B
36130,US,AL,MGM,B
36125,US,AL,MGM,A
36124,US,AL,MGM,A
35120,US,AL,BHM,E
36121,US,AL,MGM,A
36177,US,AL,MGM,B
36119,US,AL,MGM,B
36118,US,AL,MGM,B
36117,US,AL,MGM,B
36116,US,AL,MGM,B
36115,US,AL,MGM,B
36114,US,AL,MGM,B
36113,US,AL,MGM,B
36112,US,AL,MGM,A
36123,US,AL,MGM,A
35253,US,AL,BHM,A
35020,US,AL,BHM,D
36352,US,AL,MGM,E
35010,US,AL,BHM,F
35760,US,AL,HSV,C
35119,US,AL,BHM,F
36303,US,AL,MGM,E
36303,US,AL,DHN,A
35661,US,AL,HSV,C
36141,US,AL,MGM,B
35118,US,AL,BHM,D
36142,US,AL,MGM,B
35223,US,AL,BHM,B
36560,US,AL,MOB,E
36057,US,AL,MGM,C
35650,US,AL,HSV,C
35649,US,AL,HSV,B
35004,US,AL,BHM,C
36559,US,AL,MOB,C
36191,US,AL,MGM,B
35476,US,AL,BHM,E
36268,US,AL,BHM,E
35280,US,AL,BHM,A
35023,US,AL,BHM,D
35291,US,AL,BHM,A
35290,US,AL,BHM,A
35289,US,AL,BHM,A
35288,US,AL,BHM,A
35286,US,AL,BHM,A
35285,US,AL,BHM,A
35283,US,AL,BHM,A
35293,US,AL,BHM,A
35281,US,AL,BHM,A
35294,US,AL,BHM,A
35279,US,AL,BHM,A
35278,US,AL,BHM,A
35277,US,AL,BHM,A
35263,US,AL,BHM,A
35259,US,AL,BHM,B
35255,US,AL,BHM,B
35254,US,AL,BHM,A
35253,US,AL,BHM,A
35282,US,AL,BHM,A
35244,US,AL,BHM,D
35048,US,AL,BHM,F
35045,US,AL,BHM,F
35044,US,AL,BHM,E
36611,US,AL,MOB,B
35043,US,AL,BHM,E
36015,US,AL,MGM,D
35960,US,AL,BHM,E
35235,US,AL,BHM,A
35292,US,AL,BHM,A
35957,US,AL,BHM,E
35052,US,AL,BHM,E
35226,US,AL,BHM,C
36204,US,AL,BHM,E
35031,US,AL,BHM,E
35299,US,AL,BHM,A
35298,US,AL,BHM,D
35297,US,AL,BHM,A
35296,US,AL,BHM,A
35295,US,AL,BHM,A
35033,US,AL,BHM,E
36311,US,AL,MGM,D
35010,US,AL,BHM,F
35015,US,AL,BHM,B
35952,US,AL,BHM,E
36201,US,AL,BHM,E
36202,US,AL,BHM,E
36203,US,AL,BHM,E
36204,US,AL,BHM,E
36205,US,AL,BHM,E
36523,US,AL,MOB,E
35016,US,AL,BHM,E
35950,US,AL,BHM,E
36312,US,AL,DHN,C
36312,US,AL,MGM,E
35611,US,AL,HSV,B
35954,US,AL,BHM,E
36505,US,AL,MOB,C
36507,US,AL,MOB,D
36509,US,AL,MOB,D
35543,US,AL,BHM,F
36206,US,AL,BHM,E
35242,US,AL,BHM,D
35068,US,AL,BHM,B
35044,US,AL,BHM,E
36020,US,AL,MGM,C
35550,US,AL,BHM,E
35234,US,AL,BHM,A
35235,US,AL,BHM,A
35236,US,AL,BHM,D
35237,US,AL,BHM,A
35073,US,AL,BHM,D
35240,US,AL,BHM,A
35246,US,AL,BHM,A
35243,US,AL,BHM,D
35004,US,AL,BHM,C
35005,US,AL,BHM,D
36616,US,AL,MOB,A
35006,US,AL,BHM,E
36111,US,AL,MGM,A
35007,US,AL,BHM,D
35144,US,AL,BHM,D
35051,US,AL,BHM,E
35238,US,AL,BHM,A
35259,US,AL,BHM,B
35803,US,AL,HSV,A
36345,US,AL,MGM,E
35080,US,AL,BHM,D
35978,US,AL,CHA,D
35979,US,AL,CHA,D
35903,US,AL,BHM,E
35083,US,AL,BHM,E
35750,US,AL,HSV,C
35209,US,AL,BHM,B
36040,US,AL,MGM,D
35216,US,AL,BHM,B
35226,US,AL,BHM,C
35244,US,AL,BHM,D
36043,US,AL,MGM,B
35023,US,AL,BHM,D
35824,US,AL,HSV,A
35801,US,AL,HSV,A
36618,US,AL,MOB,A
35404,US,AL,BHM,E
35563,US,AL,BHM,F
36512,US,AL,MOB,D
35958,US,AL,CHA,D
36010,US,AL,MGM,D
35444,US,AL,BHM,E
35036,US,AL,BHM,D
36615,US,AL,MOB,A
35740,US,AL,CHA,D
36345,US,AL,DHN,B
36037,US,AL,MGM,D
35804,US,AL,HSV,A
36542,US,AL,MOB,E
36115,US,AL,MGM,B
35976,US,AL,BHM,E
35748,US,AL,HSV,C
35763,US,AL,HSV,D
35077,US,AL,BHM,E
35078,US,AL,BHM,E
35640,US,AL,HSV,C
35073,US,AL,BHM,D
35645,US,AL,HSV,C
35802,US,AL,HSV,A
35124,US,AL,BHM,D
35210,US,AL,BHM,A
36544,US,AL,MOB,E
36265,US,AL,BHM,E
35501,US,AL,BHM,F
35502,US,AL,BHM,F
35899,US,AL,HSV,A
35007,US,AL,BHM,D
35898,US,AL,HSV,A
36303,US,AL,DHN,A
36303,US,AL,MGM,E
35754,US,AL,HSV,C
35094,US,AL,BHM,C
35602,US,AL,HSV,B
35646,US,AL,HSV,C
36047,US,AL,MGM,D
36322,US,AL,MGM,D
35085,US,AL,BHM,E
35814,US,AL,HSV,A
35805,US,AL,HSV,A
35806,US,AL,HSV,A
35807,US,AL,HSV,A
35808,US,AL,HSV,A
35809,US,AL,HSV,A
35810,US,AL,HSV,A
35811,US,AL,HSV,A
35768,US,AL,HSV,D
35813,US,AL,HSV,A
36253,US,AL,BHM,E
35815,US,AL,HSV,A
35816,US,AL,HSV,A
35824,US,AL,HSV,A
35893,US,AL,HSV,A
35894,US,AL,HSV,A
35895,US,AL,HSV,A
35896,US,AL,HSV,A
35897,US,AL,HSV,A
35812,US,AL,HSV,A
35096,US,AL,BHM,E
36752,US,AL,MGM,D
36640,US,AL,MOB,A
36633,US,AL,MOB,A
36630,US,AL,MOB,A
36628,US,AL,MOB,A
36625,US,AL,MOB,A
36622,US,AL,MOB,A
36652,US,AL,MOB,B
36619,US,AL,MOB,C
36660,US,AL,MOB,A
36617,US,AL,MOB,A
35203,US,AL,BHM,A
36615,US,AL,MOB,A
36613,US,AL,MOB,B
36612,US,AL,MOB,B
36611,US,AL,MOB,B
36610,US,AL,MOB,B
36609,US,AL,MOB,A
36621,US,AL,MOB,A
36108,US,AL,MGM,A
36109,US,AL,MGM,B
36108,US,AL,MGM,A
36107,US,AL,MGM,A
36106,US,AL,MGM,B
36105,US,AL,MGM,A
36104,US,AL,MGM,A
36103,US,AL,MGM,A
36641,US,AL,MOB,A
36101,US,AL,MGM,A
36606,US,AL,MOB,A
35115,US,AL,BHM,E
36695,US,AL,MOB,A
36693,US,AL,MOB,A
36691,US,AL,MOB,A
36690,US,AL,MOB,A
36689,US,AL,MOB,A
36688,US,AL,MOB,A
36685,US,AL,MOB,A
36102,US,AL,MGM,A
36036,US,AL,MGM,D
36033,US,AL,MGM,E
35112,US,AL,BHM,E
36555,US,AL,MOB,E
36610,US,AL,MOB,B
35758,US,AL,HSV,A
36551,US,AL,MOB,E
36752,US,AL,MGM,D
36608,US,AL,MOB,A
35072,US,AL,BHM,F
36113,US,AL,MGM,B
36541,US,AL,MOB,C
35747,US,AL,HSV,C
35220,US,AL,BHM,A
35215,US,AL,BHM,B
35041,US,AL,BHM,F
35040,US,AL,BHM,E
35243,US,AL,BHM,D
36110,US,AL,MGM,A
35905,US,AL,BHM,E
35228,US,AL,BHM,B
35038,US,AL,BHM,E
36605,US,AL,MOB,A
36604,US,AL,MOB,A
36603,US,AL,MOB,A
36602,US,AL,MOB,A
36601,US,AL,MOB,A
36601,US,AL,MOB,A
36054,US,AL,MGM,C
35601,US,AL,HSV,B
36350,US,AL,DHN,B
36112,US,AL,MGM,A
35759,US,AL,HSV,C
36553,US,AL,MOB,E
35111,US,AL,BHM,E
35114,US,AL,BHM,E
35905,US,AL,BHM,E
35071,US,AL,BHM,D
36114,US,AL,MGM,B
36607,US,AL,MOB,A
36350,US,AL,MGM,E
36069,US,AL,MGM,D
36571,US,AL,MOB,C
36568,US,AL,MOB,C
35652,US,AL,HSV,C
36567,US,AL,MOB,E
35135,US,AL,BHM,E
35901,US,AL,BHM,E
35244,US,AL,BHM,D
35148,US,AL,BHM,F
35133,US,AL,BHM,E
35768,US,AL,HSV,D
35061,US,AL,BHM,C
35986,US,AL,CHA,D
36617,US,AL,MOB,B
36610,US,AL,MOB,B
36068,US,AL,MGM,C
36526,US,AL,MOB,C
35062,US,AL,BHM,E
35236,US,AL,BHM,D
35952,US,AL,BHM,E
35586,US,AL,BHM,F
35772,US,AL,CHA,D
35147,US,AL,BHM,E
35060,US,AL,BHM,C
35987,US,AL,BHM,E
36578,US,AL,MOB,E
35146,US,AL,BHM,E
35957,US,AL,BHM,E
35901,US,AL,BHM,E
36572,US,AL,MOB,C
36576,US,AL,MOB,E
35144,US,AL,BHM,D
36075,US,AL,MGM,D
35242,US,AL,BHM,D
35661,US,AL,HSV,C
35142,US,AL,BHM,C
36574,US,AL,MOB,E
36301,US,AL,MGM,E
36527,US,AL,MOB,C
35632,US,AL,HSV,C
36303,US,AL,DHN,A
36330,US,AL,MGM,D
36331,US,AL,MGM,D
35064,US,AL,BHM,B
36532,US,AL,MOB,C
36533,US,AL,MOB,C
36362,US,AL,MGM,D
35063,US,AL,BHM,F
35631,US,AL,HSV,C
36025,US,AL,MGM,C
35633,US,AL,HSV,C
36535,US,AL,MOB,E
35967,US,AL,CHA,D
35214,US,AL,BHM,C
36032,US,AL,MGM,D
36205,US,AL,BHM,E
35202,US,AL,BHM,A
35201,US,AL,BHM,A
35630,US,AL,HSV,C
36564,US,AL,MOB,C
35137,US,AL,BHM,E
36302,US,AL,DHN,A
36302,US,AL,MGM,E
36303,US,AL,DHN,A
36303,US,AL,MGM,E
36304,US,AL,DHN,A
36304,US,AL,MGM,E
35218,US,AL,BHM,B
36066,US,AL,MGM,C
36301,US,AL,DHN,A
35127,US,AL,BHM,C
35126,US,AL,BHM,D
36065,US,AL,MGM,D
36305,US,AL,MGM,E
36260,US,AL,BHM,E
35068,US,AL,BHM,B
36613,US,AL,MOB,B
36530,US,AL,MOB,F
36067,US,AL,MGM,C
36022,US,AL,MGM,D
35179,US,AL,BHM,F
35453,US,AL,BHM,E
35618,US,AL,HSV,C
36321,US,AL,DHN,C
36321,US,AL,MGM,E
36525,US,AL,MOB,D
35213,US,AL,BHM,B
36277,US,AL,BHM,E
35055,US,AL,BHM,E
36376,US,AL,DHN,C
36370,US,AL,DHN,B
35181,US,AL,BHM,C
36370,US,AL,MGM,E
35124,US,AL,BHM,D
35125,US,AL,BHM,E
36272,US,AL,BHM,F
36064,US,AL,MGM,D
35180,US,AL,BHM,E
35054,US,AL,BHM,E
35212,US,AL,BHM,A
35603,US,AL,HSV,B
35204,US,AL,BHM,A
35205,US,AL,BHM,A
35206,US,AL,BHM,A
35207,US,AL,BHM,A
35208,US,AL,BHM,A
35209,US,AL,BHM,B
36322,US,AL,MGM,D
35211,US,AL,BHM,B
36376,US,AL,MGM,E
35213,US,AL,BHM,B
35186,US,AL,BHM,E
36587,US,AL,MOB,E
36612,US,AL,MOB,B
36574,US,AL,MOB,E
35185,US,AL,BHM,E
36580,US,AL,MOB,E
35699,US,AL,HSV,B
35210,US,AL,BHM,A
36301,US,AL,MGM,E
35903,US,AL,BHM,E
35402,US,AL,BHM,E
35401,US,AL,BHM,E
35173,US,AL,BHM,C
36081,US,AL,MGM,D
35758,US,AL,HSV,A
35672,US,AL,HSV,C
35403,US,AL,BHM,E
36590,US,AL,MOB,C
35171,US,AL,BHM,E
35178,US,AL,BHM,E
36092,US,AL,MGM,C
35150,US,AL,BHM,E
35902,US,AL,BHM,E
36301,US,AL,DHN,A
36078,US,AL,MGM,D
